record_id,plantation_id,plot_number,region,latitude,longitude,severity_index_pct,severity_class
206,PLN-069,2,Region 12,6.597623,125.01399,16.4,Moderate
207,PLN-069,3,Region 12,6.594525,124.98975,11.19,Moderate
208,PLN-070,1,Region 13,9.098897,125.608945,70.62,Critical
209,PLN-070,2,Region 13,9.084979,125.631952,71.76,Critical
210,PLN-070,3,Region 13,9.092801,125.616439,61.93,Critical
211,PLN-071,1,Region 9,7.754189,122.626794,8.75,Low
212,PLN-071,2,Region 9,7.757277,122.628385,6.08,Low
213,PLN-071,3,Region 9,7.747202,122.624063,6.54,Low
214,PLN-072,1,Region 10,8.653828,124.720698,49.52,High
215,PLN-072,2,Region 10,8.63348,124.734874,53.55,High
216,PLN-072,3,Region 10,8.6264,124.73741,62.73,Critical
217,PLN-073,1,Region 11,6.882772,125.592441,29.07,High
218,PLN-073,2,Region 11,6.879616,125.593923,18.57,Moderate
219,PLN-073,3,Region 11,6.888059,125.589184,10.88,Moderate
220,PLN-074,1,Region 12,6.232486,124.599837,19.77,Moderate
221,PLN-074,2,Region 12,6.205809,124.59019,15.7,Moderate
222,PLN-074,3,Region 12,6.218349,124.606555,19.31,Moderate
223,PLN-075,1,Region 13,8.872022,125.743692,50.98,High
224,PLN-075,2,Region 13,8.858154,125.743413,89.19,Critical
225,PLN-075,3,Region 13,8.868461,125.733115,53.07,High
226,PLN-076,1,Region 9,7.926513,122.485614,3.62,Low
227,PLN-076,2,Region 9,7.924652,122.51178,23.7,Moderate
228,PLN-076,3,Region 9,7.927121,122.487667,1.04,Low
229,PLN-077,1,Region 10,8.377465,124.316061,23.35,Moderate
230,PLN-077,2,Region 10,8.368248,124.329902,14.86,Moderate
231,PLN-077,3,Region 10,8.379265,124.332354,29.57,High
232,PLN-078,1,Region 11,7.306775,125.79121,8.14,Low
233,PLN-078,2,Region 11,7.304291,125.794958,15.41,Moderate
234,PLN-078,3,Region 11,7.314095,125.780804,7.98,Low
235,PLN-079,1,Region 12,6.43827,124.821035,12.58,Moderate
236,PLN-079,2,Region 12,6.432054,124.818588,21.68,Moderate
237,PLN-079,3,Region 12,6.428242,124.829728,10.74,Moderate
238,PLN-080,1,Region 13,8.55204,125.323748,29.93,High
239,PLN-080,2,Region 13,8.571578,125.347337,11.7,Moderate
240,PLN-080,3,Region 13,8.527571,125.350239,15.53,Moderate
241,PLN-081,1,Region 9,8.072317,122.412613,2.8,Low
242,PLN-081,2,Region 9,8.053897,122.420611,22.37,Moderate
243,PLN-081,3,Region 9,8.075266,122.392571,24.06,Moderate
244,PLN-082,1,Region 10,8.547299,124.50108,67.53,Critical
245,PLN-082,2,Region 10,8.545689,124.509727,46.85,High
246,PLN-082,3,Region 10,8.557684,124.51986,81.38,Critical
247,PLN-083,1,Region 11,7.126579,125.091972,31.95,High
248,PLN-083,2,Region 11,7.13043,125.048978,3.28,Low
249,PLN-083,3,Region 11,7.127241,125.061167,2.95,Low
250,PLN-084,1,Region 12,6.488285,124.606179,27.72,High
251,PLN-084,2,Region 12,6.483928,124.600186,31.31,High
252,PLN-084,3,Region 12,6.509463,124.616889,21.01,Moderate
253,PLN-085,1,Region 13,8.429017,126.017338,10.4,Moderate
254,PLN-085,2,Region 13,8.430019,126.052016,24.54,Moderate
255,PLN-085,3,Region 13,8.452978,126.014269,27.19,High
256,PLN-086,1,Region 9,7.917579,122.445945,29.88,High
257,PLN-086,2,Region 9,7.919319,122.479011,4.03,Low
258,PLN-086,3,Region 9,7.906286,122.463772,17.33,Moderate
259,PLN-087,1,Region 10,8.327322,124.385298,63.26,Critical
260,PLN-087,2,Region 10,8.329461,124.37873,55.23,High
261,PLN-087,3,Region 10,8.329968,124.385649,41.41,High
262,PLN-088,1,Region 11,7.35905,125.969795,19.58,Moderate
263,PLN-088,2,Region 11,7.334503,126.006482,29.57,High
264,PLN-088,3,Region 11,7.345302,125.992645,13.31,Moderate
265,PLN-089,1,Region 12,6.706614,124.94406,8.81,Low
266,PLN-089,2,Region 12,6.708547,124.953694,0.12,Low
267,PLN-089,3,Region 12,6.726163,124.990804,14.65,Moderate
268,PLN-090,1,Region 13,8.367852,125.994513,12.54,Moderate
269,PLN-090,2,Region 13,8.356898,125.973777,8.86,Low
270,PLN-090,3,Region 13,8.382599,125.998562,12.26,Moderate
271,PLN-091,1,Region 9,7.755867,122.42024,5.31,Low
272,PLN-091,2,Region 9,7.740288,122.444556,18.74,Moderate
273,PLN-091,3,Region 9,7.759311,122.415945,1.89,Low
274,PLN-092,1,Region 10,8.013504,124.950296,69.43,Critical
275,PLN-092,2,Region 10,8.014232,124.946754,37.98,High
276,PLN-092,3,Region 10,8.032269,124.983986,72.17,Critical
277,PLN-093,1,Region 11,6.979768,125.678271,0.48,Low
278,PLN-093,2,Region 11,6.975094,125.661871,22.25,Moderate
279,PLN-093,3,Region 11,6.978028,125.67422,6.56,Low
280,PLN-094,1,Region 12,6.362902,125.365365,18.2,Moderate
281,PLN-094,2,Region 12,6.395299,125.375204,1.82,Low
282,PLN-094,3,Region 12,6.375285,125.402836,23.26,Moderate
283,PLN-095,1,Region 13,8.386872,125.740752,21.16,Moderate
284,PLN-095,2,Region 13,8.367695,125.756364,17.86,Moderate
285,PLN-095,3,Region 13,8.397177,125.755531,19.1,Moderate
286,PLN-096,1,Region 9,8.061666,122.320094,28.35,High
287,PLN-096,2,Region 9,8.042196,122.32533,21.47,Moderate
288,PLN-096,3,Region 9,8.03194,122.330319,23.66,Moderate
289,PLN-097,1,Region 10,8.174201,124.350838,20.95,Moderate
290,PLN-097,2,Region 10,8.188582,124.36476,14.34,Moderate
291,PLN-097,3,Region 10,8.141497,124.344731,8.92,Low
292,PLN-098,1,Region 11,7.111951,125.41401,18.36,Moderate
293,PLN-098,2,Region 11,7.103739,125.377481,0.61,Low
294,PLN-098,3,Region 11,7.138429,125.418477,15.31,Moderate
295,PLN-099,1,Region 12,6.270682,125.053943,25.73,High
296,PLN-099,2,Region 12,6.262507,125.071153,2.22,Low
297,PLN-099,3,Region 12,6.238484,125.060404,18.65,Moderate
298,PLN-100,1,Region 13,9.107684,125.5869,34.06,High
299,PLN-100,2,Region 13,9.067079,125.581613,58.94,High
300,PLN-100,3,Region 13,9.076104,125.597872,45.96,High
301,PLN-101,1,Region 9,7.973498,122.863801,2.64,Low
302,PLN-101,2,Region 9,7.98134,122.84302,31.0,High
303,PLN-101,3,Region 9,7.992971,122.836257,3.87,Low
304,PLN-102,1,Region 10,8.607404,124.031534,8.46,Low
305,PLN-102,2,Region 10,8.580878,124.014595,29.56,High
306,PLN-102,3,Region 10,8.59778,124.03412,8.44,Low
307,PLN-103,1,Region 11,7.123191,125.744831,29.51,High
308,PLN-103,2,Region 11,7.143378,125.743448,0.06,Low
309,PLN-103,3,Region 11,7.163782,125.753861,6.37,Low
310,PLN-104,1,Region 12,6.44838,125.337933,27.49,High
311,PLN-104,2,Region 12,6.457649,125.337803,5.5,Low
312,PLN-104,3,Region 12,6.465821,125.337654,8.55,Low
313,PLN-105,1,Region 13,8.410951,125.521337,15.88,Moderate
314,PLN-105,2,Region 13,8.430444,125.529673,12.13,Moderate
315,PLN-105,3,Region 13,8.398234,125.522245,21.11,Moderate
316,PLN-106,1,Region 9,8.138624,122.449171,5.42,Low
317,PLN-106,2,Region 9,8.11393,122.468748,26.03,High
318,PLN-106,3,Region 9,8.132873,122.464431,16.74,Moderate
319,PLN-107,1,Region 10,8.095991,124.536929,60.71,Critical
320,PLN-107,2,Region 10,8.088486,124.532826,34.48,High
321,PLN-107,3,Region 10,8.102032,124.530142,78.56,Critical
322,PLN-108,1,Region 11,7.209866,125.382404,24.56,Moderate
323,PLN-108,2,Region 11,7.175901,125.395577,12.87,Moderate
324,PLN-108,3,Region 11,7.192902,125.381195,0.53,Low
325,PLN-109,1,Region 12,6.189606,124.898379,15.79,Moderate
326,PLN-109,2,Region 12,6.215131,124.902404,31.4,High
327,PLN-109,3,Region 12,6.198981,124.899662,29.52,High
328,PLN-110,1,Region 13,8.930307,125.900322,67.09,Critical
329,PLN-110,2,Region 13,8.936517,125.886648,41.64,High
330,PLN-110,3,Region 13,8.944412,125.894141,68.83,Critical
331,PLN-111,1,Region 9,7.747551,122.460064,11.12,Moderate
332,PLN-111,2,Region 9,7.752635,122.448235,21.7,Moderate
333,PLN-111,3,Region 9,7.765894,122.476253,14.94,Moderate
334,PLN-112,1,Region 10,8.252215,124.752985,72.5,Critical
335,PLN-112,2,Region 10,8.24336,124.749995,90.33,Critical
336,PLN-112,3,Region 10,8.264115,124.757515,91.65,Critical
337,PLN-113,1,Region 11,6.668613,125.513037,27.29,High
338,PLN-113,2,Region 11,6.660129,125.514963,24.56,Moderate
339,PLN-113,3,Region 11,6.642171,125.499811,15.22,Moderate
340,PLN-114,1,Region 12,6.654097,124.838773,29.56,High
341,PLN-114,2,Region 12,6.636855,124.852377,21.97,Moderate
342,PLN-114,3,Region 12,6.639362,124.849517,20.13,Moderate
343,PLN-115,1,Region 13,8.845334,125.920071,77.88,Critical
344,PLN-115,2,Region 13,8.835487,125.90948,57.89,High
345,PLN-115,3,Region 13,8.850044,125.899681,41.79,High
346,PLN-116,1,Region 9,8.015766,122.640336,1.59,Low
347,PLN-116,2,Region 9,7.992461,122.672916,24.17,Moderate
348,PLN-116,3,Region 9,8.010919,122.687505,19.95,Moderate
349,PLN-117,1,Region 10,8.607469,124.941209,82.36,Critical
350,PLN-117,2,Region 10,8.603475,124.948588,36.09,High
351,PLN-117,3,Region 10,8.635315,124.923889,34.98,High
352,PLN-118,1,Region 11,7.329189,125.658543,7.92,Low
353,PLN-118,2,Region 11,7.334139,125.65352,13.82,Moderate
354,PLN-118,3,Region 11,7.342548,125.666453,15.68,Moderate
355,PLN-119,1,Region 12,6.75631,124.618767,22.22,Moderate
356,PLN-119,2,Region 12,6.760281,124.631953,17.04,Moderate
357,PLN-119,3,Region 12,6.765718,124.593678,24.41,Moderate
358,PLN-120,1,Region 13,8.644018,125.686043,74.95,Critical
359,PLN-120,2,Region 13,8.642902,125.680497,58.92,High
360,PLN-120,3,Region 13,8.640207,125.693351,32.79,High
361,PLN-121,1,Region 9,7.717663,123.003472,16.14,Moderate
362,PLN-121,2,Region 9,7.684763,122.993287,8.26,Low
363,PLN-121,3,Region 9,7.715169,123.026185,30.4,High
364,PLN-122,1,Region 10,7.899649,124.230096,9.63,Low
365,PLN-122,2,Region 10,7.939331,124.209372,17.99,Moderate
366,PLN-122,3,Region 10,7.9081,124.216987,5.03,Low
367,PLN-123,1,Region 11,6.93414,125.329465,11.44,Moderate
368,PLN-123,2,Region 11,6.924246,125.304124,18.57,Moderate
369,PLN-123,3,Region 11,6.934348,125.332601,25.23,High
370,PLN-124,1,Region 12,6.594722,124.523096,11.15,Moderate
371,PLN-124,2,Region 12,6.555232,124.531202,7.77,Low
372,PLN-124,3,Region 12,6.560063,124.522032,24.69,Moderate
373,PLN-125,1,Region 13,8.604193,125.668684,34.41,High
374,PLN-125,2,Region 13,8.606189,125.683854,78.58,Critical
375,PLN-125,3,Region 13,8.595841,125.690354,50.28,High
